Sales Reporting ID,Reporting Name,OPERATOR_AK-OP Operator ID,OPERATOR_EIA operator Number,PCE Reporting ID,OPERATOR_RCA CPCN,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities reported,Notes
SR-1,Alaska Electric Light&Power Co,AK-OP-133,213,NA,1,Alaska Electric Light&Power Co,222-0000,Juneau_grid,Juneau,1404263,58.301944399999996,-134.4197222,Southeast,"Juneau, Douglas, Greens Creek (Industrial)",NA
SR-10,TDX North Slope Generating Co,AK-OP-117,19277,NA,227,TDX North Slope Generating Co,224_0000,Deadhorse_grid,Deadhorse,1866941,70.2055556,-148.5116667,North Slope,Deadhorse,NA
SR-100,Koyuk,AK-OP-006,221,331420,169,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,Koyuk,1404981,64.9319444,-161.1569444,Bering Straits,Koyuk,NA
SR-101,Koyukuk,AK-OP-049,NA,332140,687,"Koyukuk, City of",136-0000,Koyukuk_grid,Koyukuk,1404984,64.8802778,-157.7008333,Yukon-Koyukuk/Upper Tanana,Koyukuk,NA
SR-102,Kwethluk,AK-OP-050,9832,332150,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,Kwethluk,1405119,60.8122222,-161.4358333,Lower Yukon-Kuskokwim,Kwethluk,NA
SR-103,Kwigillingok,AK-OP-051,10491,332160,376,Kwigillingok Power Company,138-0000,Kwigillingok_grid,Kwigillingok,1405122,59.864444399999996,-163.1341667,Lower Yukon-Kuskokwim,Kwigillingok,NA
SR-104,Larsen Bay,AK-OP-052,10716,332170,353,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,Larsen Bay,1405216,57.54,-153.9786111,Kodiak,Larsen Bay,NA
SR-105,Levelock,AK-OP-053,NA,332180,330,Levelock Electrical Coop,140-0000,Levelock_grid,Levelock,1405300,59.1141667,-156.8588889,Bristol Bay,Levelock,NA
SR-106,Lime Village,AK-OP-054,NA,332190,570,Lime Village Electric Utility,141-0000,Lime Village_grid,Lime Village,1405351,61.3563889,-155.4355556,Lower Yukon-Kuskokwim,Lime Village,NA
SR-107,Lower Kalskag,AK-OP-006,221,331430,169,Alaska Village Electric Cooperative,052-0000,Kalskag_grid,Lower Kalskag,1405763,61.5122222,-160.3580556,Lower Yukon-Kuskokwim,Lower Kalskag,NA
SR-108,Manley Hot Springs,AK-OP-090,56503,332200,72,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,NA
SR-109,Manokotak,AK-OP-056,26317,332210,321,Manokotak Power Company,142-0000,Manokotak_grid,Manokotak,1405927,58.9813889,-159.0583333,Bristol Bay,Manokotak,NA
SR-11,Adak,AK-OP-088,NA,331005,684,TDX Adak Generating LLC,186-0000,Adak_grid,Adak,1418109,51.88,-176.6580556,Aleutians,Adak,NA
SR-110,Marshall,AK-OP-006,221,331440,169,Alaska Village Electric Cooperative,061-0000,Marshall_grid,Marshall,1405984,61.8777778,-162.0811111,Lower Yukon-Kuskokwim,Marshall,NA
SR-111,McGrath,AK-OP-057,12119,332220,44,McGrath Light & Power,143-0000,McGrath_grid,McGrath,1406131,62.9563889,-155.5958333,Yukon-Koyukuk/Upper Tanana,McGrath,NA
SR-112,Mekoryuk,AK-OP-006,221,331450,169,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,Mekoryuk,1406211,60.3880556,-166.185,Lower Yukon-Kuskokwim,Mekoryuk,NA
SR-113,Mentasta Lake,AK-OP-005,219,331160,2,Alaska Power & Telephone Company,026-2012,Slana_grid,Mentasta Lake,1406241,62.9211111,-143.7691667,Copper River/Chugach,Mentasta Lake,NA
SR-114,Minto,AK-OP-006,221,331460,169,Alaska Village Electric Cooperative,063-0000,Minto_grid,Minto,1406419,65.150411,-149.349708,Yukon-Koyukuk/Upper Tanana,Minto,NA
SR-115,Mountain Village,AK-OP-006,221,331470,169,Alaska Village Electric Cooperative,075-2020,Mountain Village_grid,Mountain Village,1406655,62.0855556,-163.7294444,Lower Yukon-Kuskokwim,Mountain Village,NA
SR-116,"Naknek, South Naknek, King Salmon",AK-OP-059,13201,332280,22,Naknek Electric Association,150-0000,Naknek_grid,Naknek,1406798,58.7283333,-157.0138889,Bristol Bay,"Naknek, South Naknek, King Salmon",NA
SR-117,Napakiak,AK-OP-060,13211,332290,319,Napakiak Ircinraq,034-1988,Bethel_grid,Napakiak,1406829,60.6966667,-161.9519444,Lower Yukon-Kuskokwim,Napakiak,NA
SR-118,Napaskiak,AK-OP-061,NA,332300,625,Napaskiak Electric Utility,153-0000,Napaskiak_grid,Napaskiak,1406834,60.7080556,-161.7661111,Lower Yukon-Kuskokwim,Napaskiak,NA
SR-119,Naukati Bay,AK-OP-005,219,331170,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Naukati Bay,1866964,55.8736111,-133.1847222,Southeast,Naukati Bay,NA
SR-12,Akhiok,AK-OP-001,NA,331010,449,"Akhiok, City of",001-0000,Akhiok_grid,Akhiok,1398007,56.9455556,-154.1702778,Kodiak,Akhiok,NA
SR-120,Nelson Lagoon,AK-OP-063,13477,332320,340,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,Nelson Lagoon,1418948,56.0006152,-161.206974,Aleutians,Nelson Lagoon,NA
SR-121,New Stuyahok,AK-OP-006,221,331480,169,Alaska Village Electric Cooperative,065-2016,New_Stuyahok_grid,New Stuyahok,1406972,59.4527778,-157.3119444,Bristol Bay,New Stuyahok,NA
SR-122,Newtok,AK-OP-099,NA,332870,375,Ungusraq Power Company,196-0000,Newtok_grid,Newtok,1406985,60.9427778,-164.6294444,Lower Yukon-Kuskokwim,Newtok,NA
SR-123,Nightmute,AK-OP-006,221,331490,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Nightmute,1407008,60.4794444,-164.7238889,Lower Yukon-Kuskokwim,Nightmute,NA
SR-124,Nikolai,AK-OP-065,NA,332330,416,"Nikolai, City of",158-0000,Nikolai_grid,Nikolai,1407022,63.0133333,-154.375,Yukon-Koyukuk/Upper Tanana,Nikolai,NA
SR-125,Nikolski,AK-OP-096,NA,332740,242,Umnak Power Company,193-0000,Nikolski_grid,Nikolski,1418954,52.9380556,-168.8677778,Aleutians,Nikolski,NA
SR-126,Noatak,AK-OP-006,221,331500,169,Alaska Village Electric Cooperative,066-0000,Noatak_grid,Noatak,1413638,67.5711111,-162.9652778,Northwest Arctic,Noatak,NA
SR-127,Nome,AK-OP-066,13642,332340,150,Nome Joint Utility Systems,159-0000,Nome_grid,Nome,1407125,64.5011111,-165.4063889,Bering Straits,Nome,NA
SR-128,Noorvik,AK-OP-006,221,331510,169,Alaska Village Electric Cooperative,067-0000,Noorvik_grid,Noorvik,1413646,66.8383333,-161.0327778,Northwest Arctic,Noorvik,NA
SR-129,"Northway, Northway Village, Northway Junction",AK-OP-005,219,331180,2,Alaska Power & Telephone Company,012-0000,Northway_grid,Northway,1407253,62.9616667,-141.9372222,Yukon-Koyukuk/Upper Tanana,"Northway, Northway Village, Northway Junction",NA
SR-13,Akiachak,AK-OP-003,192,331020,412,Akiachak Native Community,002-0000,Akiachak_grid,Akiachak,1398011,60.9094444,-161.4313889,Lower Yukon-Kuskokwim,Akiachak,NA
SR-130,Nuiqsut,AK-OP-067,26616,332380,254,North Slope Borough Power & Light,163-0000,Nuiqsut_grid,Nuiqsut,1416680,70.2175,-150.9763889,North Slope,Nuiqsut,NA
SR-131,Nulato,AK-OP-006,221,331520,169,Alaska Village Electric Cooperative,068-0000,Nulato_grid,Nulato,1407321,64.7194444,-158.1030556,Yukon-Koyukuk/Upper Tanana,Nulato,NA
SR-132,Nunam Iqua,AK-OP-068,NA,332420,408,Nunam Iqua Electric Company,167-0000,Nunam Iqua_grid,Nunam Iqua,1409405,62.5336111,-164.8411111,Lower Yukon-Kuskokwim,Nunam Iqua,NA
SR-133,Nunapitchuk,AK-OP-006,221,331530,169,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,Nunapitchuk,1407339,60.8969444,-162.4594444,Lower Yukon-Kuskokwim,Nunapitchuk,NA
SR-134,Old Harbor,AK-OP-006,221,331540,169,Alaska Village Electric Cooperative,069-0000,Old Harbor_grid,Old Harbor,1407483,57.2027778,-153.3038889,Kodiak,Old Harbor,NA
SR-135,Ouzinkie,AK-OP-070,14234,332440,357,"Ouzinkie, City of",170-0000,Ouzinkie_grid,Ouzinkie,1407684,57.9236111,-152.5022222,Kodiak,Ouzinkie,NA
SR-136,Pedro Bay,AK-OP-071,14633,332450,662,Pedro Bay Village Council,171-0000,Pedro Bay_grid,Pedro Bay,1407862,59.7872222,-154.1061111,Bristol Bay,Pedro Bay,NA
SR-137,Pelican,AK-OP-072,29297,332460,24,Pelican Utility,172-0000,Pelican_grid,Pelican,1424201,57.9608333,-136.2275,Southeast,Pelican,NA
SR-138,Perryville,AK-OP-073,14832,332470,659,Native Village of Perryville,155-0000,Perryville_grid,Perryville,1407902,55.9139846,-159.1632767,Bristol Bay,Perryville,NA
SR-139,Pilot Point,AK-OP-074,NA,332480,425,Pilot Point Electric Utility,173-0000,Pilot Point_grid,Pilot Point,1407992,57.5641667,-157.5791667,Bristol Bay,Pilot Point,NA
SR-14,Akiak,AK-OP-002,NA,331030,635,Akiak City Council,003-0000,Akiak_grid,Akiak,1398012,60.9122222,-161.2138889,Lower Yukon-Kuskokwim,Akiak,NA
SR-140,Pilot Station,AK-OP-006,221,331550,169,Alaska Village Electric Cooperative,070-0000,Pilot Station_grid,Pilot Station,1407993,61.9388889,-162.875,Lower Yukon-Kuskokwim,Pilot Station,NA
SR-141,Pitkas Point,AK-OP-006,221,331560,169,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,Pitkas Point,1408054,62.0327778,-163.2877778,Lower Yukon-Kuskokwim,Pitkas Point,NA
SR-142,Platinum,AK-OP-075,NA,332490,0,"Platinum, City of",174-0000,Platinum_grid,Platinum,1408072,59.0130556,-161.8163889,Lower Yukon-Kuskokwim,Platinum,NA
SR-143,Point Hope,AK-OP-067,26616,332390,254,North Slope Borough Power & Light,164-0000,Point Hope_grid,Point Hope,1408110,68.3486111,-166.7347222,North Slope,Point Hope,NA
SR-144,Point Lay,AK-OP-067,26616,332400,254,North Slope Borough Power & Light,165-0000,Point Lay_grid,Point Lay,1408115,69.743857,-163.008442,North Slope,Point Lay,NA
SR-145,Port Alsworth,AK-OP-085,NA,332590,447,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,Port Alsworth,1408208,60.2025,-154.3127778,Bristol Bay,Port Alsworth,NA
SR-146,Port Heiden,AK-OP-077,NA,332500,399,Port Heiden Utilities,175-0000,Port Heiden_grid,Port Heiden,1419072,56.9325614,-158.6249699,Bristol Bay,Port Heiden,NA
SR-147,Quinhagak,AK-OP-006,221,331570,169,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,Quinhagak,1408462,59.7488889,-161.9158333,Lower Yukon-Kuskokwim,Quinhagak,NA
SR-148,Rampart,AK-OP-079,NA,332520,759,Rampart Village Council,177-0000,Rampart_grid,Rampart,1408519,65.505,-150.17,Yukon-Koyukuk/Upper Tanana,Rampart,NA
SR-149,Red Devil,AK-OP-058,12485,332250,343,Middle Kuskokwim Electric,146-0000,Red Devil_grid,Red Devil,1408580,61.7611111,-157.3125,Lower Yukon-Kuskokwim,Red Devil,NA
SR-15,Akutan,AK-OP-004,24486,331040,293,"Akutan, City of",004-0000,Akutan_grid,Akutan,1418123,54.135555600000004,-165.7730556,Aleutians,Akutan,NA
SR-150,Ruby,AK-OP-080,NA,332530,364,"Ruby, City of",178-0000,Ruby_grid,Ruby,1408878,64.7394444,-155.4869444,Yukon-Koyukuk/Upper Tanana,Ruby,NA
SR-151,Russian Mission,AK-OP-006,221,331580,169,Alaska Village Electric Cooperative,072-0000,Russian Mission_grid,Russian Mission,1408925,61.785,-161.3202778,Lower Yukon-Kuskokwim,Russian Mission,NA
SR-152,Saint George,AK-OP-082,NA,332550,410,"Saint George, City of",179-0000,Saint George_grid,Saint George,1419161,56.6,-169.5416667,Aleutians,Saint George,NA
SR-153,"Saint Mary's, Andreafsky",AK-OP-006,221,331660,169,Alaska Village Electric Cooperative,075-2020,Saint Mary's_grid,Saint Mary's,1398261,62.0530556,-163.1658333,Lower Yukon-Kuskokwim,"Saint Mary's, Andreafsky",NA
SR-154,Saint Michael,AK-OP-006,221,331670,169,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Saint Michael,1408977,63.4780556,-162.0391667,Bering Straits,Saint Michael,NA
SR-155,Saint Paul,AK-OP-083,17898,332560,339,Saint Paul Municipal Electric,180-0000,Saint Paul_grid,Saint Paul,1419163,57.1222222,-170.275,Aleutians,Saint Paul,NA
SR-156,Sand Point,AK-OP-089,63560,332540,230,"Sand Point Generating, LLC",187-0000,Sand Point_grid,Sand Point,1419182,55.3397222,-160.4972222,Aleutians,Sand Point,NA
SR-157,Savoonga,AK-OP-006,221,331590,169,Alaska Village Electric Cooperative,076-0000,Savoonga_grid,Savoonga,1409106,63.6941667,-170.4788889,Bering Straits,Savoonga,NA
SR-158,Scammon Bay,AK-OP-006,221,331600,169,Alaska Village Electric Cooperative,077-0000,Scammon Bay_grid,Scammon Bay,1409133,61.8427778,-165.5816667,Lower Yukon-Kuskokwim,Scammon Bay,NA
SR-159,Selawik,AK-OP-006,221,331610,169,Alaska Village Electric Cooperative,078-0000,Selawik_grid,Selawik,1413930,66.6038889,-160.0069444,Northwest Arctic,Selawik,NA
SR-16,Alakanuk,AK-OP-006,221,331240,169,Alaska Village Electric Cooperative,045-2016,Emmonak_grid,Alakanuk,1398042,62.6888889,-164.6152778,Lower Yukon-Kuskokwim,Alakanuk,NA
SR-160,Shageluk,AK-OP-006,221,331620,169,Alaska Village Electric Cooperative,079-0000,Shageluk_grid,Shageluk,1409306,62.6822222,-159.5619444,Yukon-Koyukuk/Upper Tanana,Shageluk,NA
SR-161,Shaktoolik,AK-OP-006,221,331630,169,Alaska Village Electric Cooperative,080-0000,Shaktoolik_grid,Shaktoolik,1669434,64.3338889,-161.1538889,Bering Straits,Shaktoolik,NA
SR-162,Shishmaref,AK-OP-006,221,331640,169,Alaska Village Electric Cooperative,081-0000,Shishmaref_grid,Shishmaref,1409434,66.2566667,-166.0719444,Bering Straits,Shishmaref,NA
SR-163,Shungnak,AK-OP-006,221,331650,169,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,Shungnak,1413983,66.8880556,-157.1363889,Northwest Arctic,Shungnak,NA
SR-164,Skagway,AK-OP-005,219,331190,2,Alaska Power & Telephone Company,032-1998,Haines_grid,Skagway,1414754,59.4583333,-135.3138889,Southeast,Skagway,NA
SR-165,Slana,AK-OP-005,219,331195,2,Alaska Power & Telephone Company,026-2012,Slana_grid,Slana,1409698,62.7069444,-143.9611111,Copper River/Chugach,Slana,NA
SR-166,Sleetmute,AK-OP-058,12485,332260,343,Middle Kuskokwim Electric,147-0000,Sleetmute_grid,Sleetmute,1409747,61.7025,-157.1697222,Lower Yukon-Kuskokwim,Sleetmute,NA
SR-167,Stebbins,AK-OP-006,221,331680,169,Alaska Village Electric Cooperative,084-2015,Stebbins_grid,Stebbins,1410158,63.5222222,-162.2880556,Bering Straits,Stebbins,NA
SR-168,Stevens Village,AK-OP-081,NA,332570,709,Stevens Village Ira Council,181-0000,Stevens Village_grid,Stevens Village,1410198,66.0063889,-149.0908333,Yukon-Koyukuk/Upper Tanana,Stevens Village,NA
SR-169,Stony River,AK-OP-058,12485,332270,343,Middle Kuskokwim Electric,148-0000,Stony River_grid,Stony River,1410241,61.7830556,-156.5880556,Lower Yukon-Kuskokwim,Stony River,NA
SR-17,"Allakaket, Alatna",AK-OP-005,219,331050,2,Alaska Power & Telephone Company,005-0000,Allakaket_grid,Allakaket,1398129,66.5655556,-152.6455556,Yukon-Koyukuk/Upper Tanana,"Allakaket, Alatna",NA
SR-170,Takotna,AK-OP-084,NA,332580,394,Takotna Community Assoc Inc,182-0000,Takotna_grid,Takotna,1410562,62.9886111,-156.0641667,Yukon-Koyukuk/Upper Tanana,Takotna,NA
SR-171,Tanana,AK-OP-086,18474,332600,92,Tanana Power Company Inc,184-0000,Tanana_grid,Tanana,1410629,65.1719444,-152.0788889,Yukon-Koyukuk/Upper Tanana,Tanana,NA
SR-172,Tatitlek,AK-OP-087,18480,332610,586,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,Tatitlek,1415193,60.8647222,-146.6786111,Copper River/Chugach,Tatitlek,NA
SR-173,Teller,AK-OP-091,18521,331685,61,Teller Power Company,085-0000,Teller_grid,Teller,1410730,65.2636111,-166.3608333,Bering Straits,Teller,NA
SR-173,Teller,AK-OP-091,18521,332620,61,Teller Power Company,085-0000,Teller_grid,Teller,1410730,65.2636111,-166.3608333,Bering Straits,Teller,NA
SR-174,Tenakee Springs,AK-OP-092,18541,332630,363,"Tenakee Springs, City of",189-0000,Tenakee Springs_grid,Tenakee Springs,1415210,57.7808333,-135.2188889,Southeast,Tenakee Springs,NA
SR-175,Tetlin,AK-OP-005,219,331200,2,Alaska Power & Telephone Company,015-2008,Tok_grid,Tetlin,1410765,63.1350512,-142.5238796,Yukon-Koyukuk/Upper Tanana,Tetlin,NA
SR-176,"Thorne Bay, Kasaan",AK-OP-005,219,331210,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Thorne Bay,1669435,55.6877778,-132.5222222,Southeast,"Thorne Bay, Kasaan",NA
SR-176,"Thorne Bay, City of",AK-OP-172,18877,331210,0,"Thorne Bay, City of",NA,ThorneBay_grid,Thorne Bay,1669435,55.6877778,-132.5222222,Southeast,Thorne Bay,NA
SR-177,Togiak,AK-OP-006,221,331690,169,Alaska Village Electric Cooperative,086-2020,Togiak_grid,Togiak,1411039,59.0619444,-160.3763889,Bristol Bay,Togiak,NA
SR-178,"Tok, Tanacross",AK-OP-005,219,331220,2,Alaska Power & Telephone Company,015-2008,Tok_grid,Tok,1411046,63.3366667,-142.9855556,Yukon-Koyukuk/Upper Tanana,"Tok, Tanacross",NA
SR-179,Toksook Bay,AK-OP-006,221,331700,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Toksook Bay,1411060,60.5337752,-165.1036627,Lower Yukon-Kuskokwim,Toksook Bay,NA
SR-18,Ambler,AK-OP-006,221,331250,169,Alaska Village Electric Cooperative,035-0000,Ambler_grid,Ambler,1412509,67.0861111,-157.8513889,Northwest Arctic,Ambler,NA
SR-180,Tuluksak,AK-OP-093,NA,332710,664,Tuluksak Traditional,190-0000,Tuluksak_grid,Tuluksak,1411295,61.1025,-160.9616667,Lower Yukon-Kuskokwim,Tuluksak,NA
SR-181,Tuntutuliak,AK-OP-094,19267,332720,344,Tuntutuliak Community,191-0000,Tuntutuliak_grid,Tuntutuliak,1411324,60.3430556,-162.6630556,Lower Yukon-Kuskokwim,Tuntutuliak,NA
SR-182,Tununak,AK-OP-006,221,331710,169,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,Tununak,1410644,60.5855556,-165.2558333,Lower Yukon-Kuskokwim,Tununak,NA
SR-184,Unalakleet,AK-OP-098,40548,332850,741,Unalakleet Valley Electric Cooperative,194-0000,Unalakleet_grid,Unalakleet,1411517,63.8730556,-160.7880556,Bering Straits,Unalakleet,NA
SR-185,Unalaska,AK-OP-097,19454,332860,106,"Unalaska, City of",195-0000,Unalaska_grid,Unalaska,1419424,53.8736111,-166.5366667,Aleutians,Unalaska,NA
SR-186,Venetie,AK-OP-100,NA,332880,663,Venetie Village Electric,197-0000,Venetie_grid,Venetie,1411644,67.0138889,-146.4186111,Yukon-Koyukuk/Upper Tanana,Venetie,NA
SR-187,Wainwright,AK-OP-067,26616,332410,254,North Slope Borough Power & Light,166-0000,Wainwright_grid,Wainwright,1411728,70.6369444,-160.0383333,North Slope,Wainwright,NA
SR-188,Wales,AK-OP-006,221,331730,169,Alaska Village Electric Cooperative,090-0000,Wales_grid,Wales,1404755,65.6091667,-168.0875,Bering Straits,Wales,NA
SR-189,Whale Pass,AK-OP-005,219,331230,2,Alaska Power & Telephone Company,213-0000,Whale_Pass_grid,Whale Pass,1744590,56.1152778,-133.1208333,Southeast,Whale Pass,NA
SR-19,Anaktuvuk Pass,AK-OP-067,26616,332350,254,North Slope Borough Power & Light,160-0000,Anaktuvuk Pass_grid,Anaktuvuk Pass,1398235,68.1433333,-151.7358333,North Slope,Anaktuvuk Pass,NA
SR-190,White Mountain,AK-OP-101,20535,332890,409,"White Mountain, City of",198-0000,WhiteMountain_grid,White Mountain,1411989,64.6813889,-163.4055556,Bering Straits,White Mountain,NA
SR-192,"Copper Valley Elec Assn, Inc",AK-OP-103,4329,NA,10,"Copper Valley Elec Assn, Inc",216-0000,CopperValley_grid,Valdez,1412465,61.1308333,-146.3483333,Copper River/Chugach,"In addition to Valdez, the CVEA service area includes 14 other communities.",NA
SR-193,"Sitka, City & Borough of",AK-OP-130,17271,NA,100,"Sitka, City & Borough of",219-0000,Sitka_grid,Sitka,1414736,57.0530556,-135.33,Southeast,Sitka,NA
