Sales Reporting ID,Reporting Name,OPERATOR_AK-OP Operator ID,OPERATOR_EIA operator Number,PCE Reporting ID,OPERATOR_RCA CPCN,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities reported,Notes
SR-194,Barrow Utilities & Electric Cooperative Inc.,AK-OP-134,1276,NA,214,Barrow Utilities & Electric Cooperative Inc.,221-0000,Utqiagvik_grid,Utqiagvik,1398635,71.2905556,-156.7886111,North Slope,Utqiagvik,NA
SR-195,Metlakatla Power & Light,AK-OP-108,12385,NA,0,Metlakatla Power & Light,225_0000,Metlakatla_grid,Metlakatla,1423661,55.1291667,-131.5722222,Southeast,Metlakatla,NA
SR-197,"Arctic Utilities, Inc",AK-OP-171,409,NA,0,TNSG,224_0000,Deadhorse_grid,Deadhorse,1866941,70.2055556,-148.5116667,North Slope,Deadhorse,NA
SR-198,"Petersburg, City of",AK-OP-110,14856,NA,212,"Petersburg, City of",217-2009,SEAPA_grid,Petersburg,1424228,56.8112667,-132.9512425,Southeast,Petersburg,NA
SR-199,"Seward, City of",AK-OP-111,16955,NA,108,"Seward, City of",215-1985,Railbelt_grid,Seward,1414598,60.1041667,-149.4422222,Railbelt,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point.",NA
SR-2,Anchorage Mun Light and Power,AK-OP-109,599,NA,121,Anchorage Mun Light and Power,215-1985,Railbelt_grid,Anchorage,1398242,61.2180556,-149.9002778,Railbelt,Anchorage,NA
SR-20,Angoon,AK-OP-041,18963,332650,240,Inside Passage Electric,125-0000,Angoon_grid,Angoon,1420113,57.5033333,-134.5838889,Southeast,Angoon,NA
SR-200,"Wrangell, City of",AK-OP-135,21015,NA,111,"Wrangell, City of",217-2009,SEAPA_grid,Wrangell,1415843,56.4708333,-132.3766667,Southeast,Wrangell,NA
SR-201,U S Air Force-Eielson AFB,AK-OP-120,22199,NA,0,NA,215-1985,Railbelt_grid,Eielson AFB,2418568,64.6632652,-147.05442,Railbelt,U S Air Force-Eielson AFB,NA
SR-202,Manley Hot Springs,AK-OP-090,56503,332200,72,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,NA
SR-204,Alaska Electric G & T Coop Inc,AK-OP-140,288,NA,345,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,NA,NA
SR-205,Alaska Energy Authority,AK-OP-129,42889,NA,0,Alaska Energy Authority,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,Alaska Energy Authority,NA
SR-206,Alyeska Seafoods Inc,AK-OP-161,431,NA,0,Alyeska Seafoods Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-207,"NUI Energy Brokers, Inc",AK-OP-173,13880,NA,0,"NUI Energy Brokers, Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-208,U S Army-Ft Wainwright,AK-OP-174,22200,NA,0,U S Army-Ft Wainwright,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,U S Army-Ft Wainwright,NA
SR-209,Unisea Inc,AK-OP-126,19553,NA,0,Unisea Inc,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR-21,Aniak,AK-OP-009,4959,331760,5,Aniak Light & Power,093-0000,Aniak_grid,Aniak,1398286,61.5783333,-159.5222222,Lower Yukon-Kuskokwim,Aniak,NA
SR-210,University of Alaska,AK-OP-127,19511,NA,452,University of Alaska,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,University of Alaska,NA
SR-211,Alaska Electric & Energy Coop,AK-OP-112,49803,NA,640,Alaska Electric & Energy Coop,215-1985,Railbelt_grid,NA,NA,NA,NA,Railbelt,Subsidiary of Homer Electric Association,NA
SR-212,Southeast Alaska Power Agency,AK-OP-124,60770,NA,0,Southeast Alaska Power Agency,217-2009,SEAPA_grid,NA,NA,NA,NA,Southeast,"Provides power to Ketchikan, Wrangell, Petersburg",NA
SR-22,Anvik,AK-OP-006,221,331260,169,Alaska Village Electric Cooperative,036-0000,Anvik_grid,Anvik,1398335,62.6561111,-160.2066667,Yukon-Koyukuk/Upper Tanana,Anvik,NA
SR-23,Arctic Village,AK-OP-010,NA,331770,747,Arctic Village Electric Company,094-0000,Arctic Village_grid,Arctic Village,1398382,68.1269444,-145.5377778,Yukon-Koyukuk/Upper Tanana,Arctic Village,NA
SR-24,Atka,AK-OP-011,56256,331750,291,"Atka, City of",095-0000,Atka_grid,Atka,1418170,52.1961111,-174.2005556,Aleutians,Atka,NA
SR-24,Atka,AK-OP-008,653,331750,291,Andreanof Electric Corp,095-0000,Atka_grid,Atka,1418170,52.1961111,-174.2005556,Aleutians,Atka,NA
SR-25,Atmautluak,AK-OP-012,878,331780,337,Atmautluak Tribal Utilities,096-0000,Atmautluak_grid,Atmautluak,1699811,60.8669444,-162.2730556,Lower Yukon-Kuskokwim,Atmautluak,NA
SR-26,Atqasuk,AK-OP-067,26616,332360,254,North Slope Borough Power & Light,161-0000,Atqasuk_grid,Atqasuk,1406178,70.4691667,-157.3994444,North Slope,Atqasuk,NA
SR-27,Beaver,AK-OP-013,NA,331790,420,Beaver Joint Utilities,097-0000,Beaver_grid,Beaver,1398776,66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,Beaver,NA
SR-28,"Bethel, Oscarville",AK-OP-006,221,331800,169,Alaska Village Electric Cooperative,034-1988,Bethel_grid,Bethel,1398908,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,"Bethel, Oscarville",NA
SR-29,"Bettles, Evansville",AK-OP-005,219,331060,2,Alaska Power & Telephone Company,007-0000,Bettles_grid,Bettles,1926949,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,"Bettles, Evansville",NA
SR-3,Chugach Electric Assn Inc,AK-OP-132,3522,NA,8,Chugach Electric Assn Inc,215-1985,Railbelt_grid,Anchorage,1398242,61.2180556,-149.9002778,Railbelt,"In addition to Anchorage, the CEA service area includes eight other communities.",NA
SR-30,Birch Creek,AK-OP-015,1747,331810,767,Birch Creek Electric Company,098-0000,Birch Creek_grid,Birch Creek,1399049,66.2590355,-145.81901680000001,Yukon-Koyukuk/Upper Tanana,Birch Creek,NA
SR-31,Brevig Mission,AK-OP-006,221,331270,169,Alaska Village Electric Cooperative,039-0000,Brevig Mission_grid,Brevig Mission,1420670,65.3347222,-166.4891667,Bering Straits,Brevig Mission,NA
SR-32,Buckland,AK-OP-016,NA,331820,432,"Buckland, City of",099-0000,Buckland_grid,Buckland,1412684,65.9797222,-161.1230556,Northwest Arctic,Buckland,NA
SR-33,Central,AK-OP-139,56739,331830,341,Gold Country Energy,116-0000,Central_grid,Central,1400106,65.5725,-144.8030556,Yukon-Koyukuk/Upper Tanana,Central,NA
SR-33,Central,AK-OP-018,6111,331830,341,Central Electric Inc.,116-0000,Central_grid,Central,1400106,65.5725,-144.8030556,Yukon-Koyukuk/Upper Tanana,Central,NA
SR-34,Chalkyitsik,AK-OP-019,NA,331840,682,Chalkyitsik Village Council,100-0000,Chalkyitsik_grid,Chalkyitsik,1400128,66.6544444,-143.7222222,Yukon-Koyukuk/Upper Tanana,Chalkyitsik,NA
SR-35,Chefornak,AK-OP-062,3422,332310,365,Naterkaq Light Plant (City of Chefornak),154-0000,Chefornak_grid,Chefornak,1400188,60.16,-164.2658333,Lower Yukon-Kuskokwim,Chefornak,NA
SR-36,Chenega Bay,AK-OP-020,NA,331850,686,Chenega Ira Council,101-0000,Chenega_grid,Chenega Bay,1421254,60.0633333,-148.0113889,Copper River/Chugach,Chenega Bay,NA
SR-37,Chevak,AK-OP-006,221,331280,169,Alaska Village Electric Cooperative,040-0000,Chevak_grid,Chevak,1400219,61.5277778,-165.5863889,Lower Yukon-Kuskokwim,Chevak,NA
SR-38,Chignik,AK-OP-021,3421,331860,297,"Chignik, City of",104-0000,Chignik_grid,Chignik,1400269,56.2952778,-158.4022222,Bristol Bay,Chignik,NA
SR-39,Chignik Lagoon,AK-OP-023,NA,331870,658,Chignik Lagoon Power Utility,102-0000,Chignik Lagoon_grid,Chignik Lagoon,1400274,56.3084393,-158.5302391,Bristol Bay,Chignik Lagoon,NA
SR-4,Golden Valley Elec Assn Inc,AK-OP-104,7353,NA,13,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,Fairbanks,1401958,64.8377778,-147.7163889,Railbelt,"In addition to Fairbanks, the GVEA service area includes 25 other communities.",NA
SR-40,Chignik Lake,AK-OP-022,NA,331880,437,Chignik Lake Electric Utility,103-0000,Chignik Lake_grid,Chignik Lake,1893911,56.2555556,-158.7625,Bristol Bay,Chignik Lake,NA
SR-41,Chilkat Valley,AK-OP-041,18963,332660,240,Inside Passage Electric,032-1998,Haines_grid,Chilkat Valley,1421022,59.399702,-135.8964089,Southeast,Chilkat Valley,NA
SR-42,Chistochina,AK-OP-005,219,331070,2,Alaska Power & Telephone Company,026-2012,Slana_grid,Chistochina,1400333,62.5717828,-144.6541704,Copper River/Chugach,Chistochina,NA
SR-43,Chitina,AK-OP-024,3465,331890,368,Chitina Electric Inc,105-0000,Chitina_grid,Chitina,1400337,61.5158333,-144.4369444,Copper River/Chugach,Chitina,NA
SR-44,Chuathbaluk,AK-OP-058,12485,332230,343,Middle Kuskokwim Electric,144-0000,Chuathbaluk_grid,Chuathbaluk,1400376,61.5719444,-159.245,Lower Yukon-Kuskokwim,Chuathbaluk,NA
SR-45,Circle,AK-OP-025,NA,331900,256,Circle Electric Utility,106-0000,Circle_grid,Circle,1400404,65.8255556,-144.0605556,Yukon-Koyukuk/Upper Tanana,Circle,NA
SR-46,Clark's Point,AK-OP-026,NA,331910,360,"Clark's Point, City of",107-0000,Clark's Point_grid,Clark's Point,1400426,58.8441667,-158.5508333,Bristol Bay,Clark's Point,NA
SR-47,Coffman Cove,AK-OP-005,219,331080,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Coffman Cove,1669437,56.0138889,-132.8277778,Southeast,Coffman Cove,NA
SR-48,Cold Bay,AK-OP-034,6866,331980,88,G & K Inc,114-0000,Cold Bay_grid,Cold Bay,1418448,55.1858333,-162.7211111,Aleutians,Cold Bay,NA
SR-49,"Cordova, Eyak",AK-OP-027,40215,331920,160,Cordova Electric Cooperative,014-1990,Cordova_grid,Cordova,1421215,60.5427778,-145.7575,Copper River/Chugach,"Cordova, Eyak",NA
SR-5,Homer Electric Assn Inc,AK-OP-105,19558,NA,32,Homer Electric Assn Inc,215-1985,Railbelt_grid,Homer,1413141,59.6425,-151.5483333,Railbelt,"In addition to Homer, the HEA service area includes 29 other communities",NA
SR-50,Craig,AK-OP-005,219,331090,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Craig,1421260,55.4763889,-133.1483333,Southeast,Craig,NA
SR-51,Crooked Creek,AK-OP-058,12485,332240,343,Middle Kuskokwim Electric,145-0000,Crooked Creek_grid,Crooked Creek,1400824,61.87,-158.1108333,Lower Yukon-Kuskokwim,Crooked Creek,NA
SR-52,Deering,AK-OP-042,9416,332060,369,Ipnatchiaq Electric Company,130-0000,Deering_grid,Deering,1412894,66.0755556,-162.7172222,Northwest Arctic,Deering,NA
SR-53,"Dillingham, Aleknagik",AK-OP-069,13870,332430,45,Nushagak Electric Cooperative,169-0000,Dillingham_grid,Dillingham,1401203,59.0397222,-158.4575,Bristol Bay,"Dillingham, Aleknagik",NA
SR-54,Diomede,AK-OP-028,NA,331930,383,Diomede Joint Utilities,110-0000,Diomede_grid,Diomede,1401213,65.7537652,-168.92315,Bering Straits,Diomede,NA
SR-55,"Dot Lake, Dot Lake Village",AK-OP-005,219,331100,2,Alaska Power & Telephone Company,015-2008,Tok_grid,Dot Lake,1401364,63.6613889,-144.0644444,Yukon-Koyukuk/Upper Tanana,"Dot Lake, Dot Lake Village",NA
SR-56,"Eagle, Eagle Village",AK-OP-005,219,331110,2,Alaska Power & Telephone Company,009-0000,Eagle_grid,Eagle,1401499,64.7880556,-141.2,Yukon-Koyukuk/Upper Tanana,"Eagle, Eagle Village",NA
SR-57,Eek,AK-OP-006,221,331290,169,Alaska Village Electric Cooperative,041-0000,Eek_grid,Eek,1401666,60.2188889,-162.0244444,Lower Yukon-Kuskokwim,Eek,NA
SR-58,Egegik,AK-OP-029,5553,331940,320,Egegik Light & Power Co,111-0000,Egegik_grid,Egegik,1401686,58.2155556,-157.3758333,Bristol Bay,Egegik,NA
SR-58,Egegik,AK-OP-029,57351,NA,320,Egegik Light & Power Co,111-0000,Egegik_grid,Egegik,1401686,58.2155556,-157.3758333,Bristol Bay,Egegik,NA
SR-59,Ekwok,AK-OP-030,NA,331950,688,City of Ekwok,065-2016,New_Stuyahok_grid,Ekwok,1401738,59.3497222,-157.4752778,Bristol Bay,Ekwok,NA
SR-6,Ketchikan Public Utilities,AK-OP-131,10210,NA,103,Ketchikan Public Utilities,217-2009,SEAPA_grid,Ketchikan,1423039,55.3422222,-131.6461111,Southeast,"Ketchikan, Saxman",NA
SR-60,Elfin Cove,AK-OP-031,5721,331960,701,Elfin Cove Utility Commission,112-0000,Elfin Cove_grid,Elfin Cove,1401787,58.1944444,-136.3433333,Southeast,Elfin Cove,NA
SR-61,Elim,AK-OP-006,221,331300,169,Alaska Village Electric Cooperative,043-0000,Elim_grid,Elim,1401788,64.6175,-162.2605556,Bering Straits,Elim,NA
SR-62,Emmonak,AK-OP-006,221,331310,169,Alaska Village Electric Cooperative,045-2016,Emmonak_grid,Emmonak,1401837,62.7777778,-164.5230556,Lower Yukon-Kuskokwim,Emmonak,NA
SR-63,False Pass,AK-OP-032,NA,331970,442,"False Pass, City of",113-0000,False Pass_grid,False Pass,1418574,54.8508333,-163.415,Aleutians,False Pass,NA
SR-64,Fort Yukon,AK-OP-037,7833,332020,63,Gwitchyaa Zhee Utilities Company,119-0000,Fort Yukon_grid,Fort Yukon,1402276,66.5647222,-145.2738889,Yukon-Koyukuk/Upper Tanana,Fort Yukon,NA
SR-65,Galena,AK-OP-033,6915,331990,274,"Galena, City of",115-0000,Galena_grid,Galena,1402457,64.7333333,-156.9275,Yukon-Koyukuk/Upper Tanana,Galena,NA
SR-66,Gambell,AK-OP-006,221,331320,169,Alaska Village Electric Cooperative,046-0000,Gambell_grid,Gambell,1402463,63.7797222,-171.7411111,Bering Straits,Gambell,NA
SR-67,Golovin,AK-OP-035,NA,332000,373,Golovin Power Utilities,117-0000,Golovin_grid,Golovin,1402760,64.5433333,-163.0291667,Bering Straits,Golovin,NA
SR-68,Goodnews Bay,AK-OP-006,221,331330,169,Alaska Village Electric Cooperative,047-0000,Goodnews Bay_grid,Goodnews Bay,1415910,59.1188889,-161.5875,Lower Yukon-Kuskokwim,Goodnews Bay,NA
SR-69,Grayling,AK-OP-006,221,331340,169,Alaska Village Electric Cooperative,048-0000,Grayling_grid,Grayling,1402921,62.9036111,-160.0647222,Yukon-Koyukuk/Upper Tanana,Grayling,NA
SR-7,Kodiak Electric Assn Inc,AK-OP-106,10433,NA,16,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,Kodiak,1404875,57.79,-152.4072222,Kodiak,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island.",NA
SR-70,Gustavus,AK-OP-005,219,332010,2,Alaska Power & Telephone Company,118-0000,Gustavus_grid,Gustavus,1403078,58.4133333,-135.7369444,Southeast,Gustavus,NA
SR-71,"Haines, Covenant Life",AK-OP-005,219,331120,2,Alaska Power & Telephone Company,032-1998,Haines_grid,Haines,1422400,59.228589,-135.444114,Southeast,"Haines, Covenant Life",NA
SR-72,Healy Lake,AK-OP-005,219,331130,2,Alaska Power & Telephone Company,011-0000,Healy Lake_grid,Healy Lake,2419534,63.9872308,-144.6998325,Yukon-Koyukuk/Upper Tanana,Healy Lake,NA
SR-73,Hollis,AK-OP-005,219,331140,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Hollis,1866952,55.5566667,-132.6363889,Southeast,Hollis,NA
SR-74,Holy Cross,AK-OP-006,221,331350,169,Alaska Village Electric Cooperative,049-0000,Holy Cross_grid,Holy Cross,1403447,62.1994444,-159.7713889,Yukon-Koyukuk/Upper Tanana,Holy Cross,NA
SR-75,Hoonah,AK-OP-041,18963,332670,240,Inside Passage Electric,128-0000,Hoonah_grid,Hoonah,1403488,58.11,-135.4436111,Southeast,Hoonah,NA
SR-76,Hooper Bay,AK-OP-006,221,331360,169,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,Hooper Bay,1403493,61.5311111,-166.0966667,Lower Yukon-Kuskokwim,Hooper Bay,NA
SR-77,Hughes,AK-OP-038,9000,332030,332,Hughes Power & Light,120-0000,Hughes_grid,Hughes,1403596,66.0488889,-154.2555556,Yukon-Koyukuk/Upper Tanana,Hughes,NA
SR-78,Huslia,AK-OP-006,221,331370,169,Alaska Village Electric Cooperative,051-0000,Huslia_grid,Huslia,1403644,65.6986111,-156.3997222,Yukon-Koyukuk/Upper Tanana,Huslia,NA
SR-79,Hydaburg,AK-OP-005,219,331150,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Hydaburg,1422709,55.2080556,-132.8266667,Southeast,Hydaburg,NA
SR-8,Matanuska Electric Assn Inc,AK-OP-107,11824,NA,18,Matanuska Electric Assn Inc,215-1985,Railbelt_grid,Wasilla,1411788,61.5813889,-149.4394444,Railbelt,"In addition to Wasilla, the MEA service area includes 28 other communities.",NA
SR-80,Igiugig,AK-OP-039,9192,332040,681,Igiugig Electric Company,121-0000,Igiugig_grid,Igiugig,1403706,59.3277778,-155.8947222,Bristol Bay,Igiugig,NA
SR-81,"Iliamna, Newhalen, Nondalton",AK-OP-040,9188,332050,280,"I-N-N Electric Coop, Inc",123-1983,Newhalen_grid,Iliamna,1403763,59.7567965,-154.9110837,Bristol Bay,"Iliamna, Newhalen, Nondalton",NA
SR-82,Kake,AK-OP-041,18963,332680,240,Inside Passage Electric,129-0000,Kake_grid,Kake,1422926,56.9758333,-133.9472222,Southeast,Kake,NA
SR-83,Kaktovik,AK-OP-067,26616,332370,254,North Slope Borough Power & Light,162-0000,Kaktovik_grid,Kaktovik,1404349,70.1319444,-143.6238889,North Slope,Kaktovik,NA
SR-84,Kalskag,AK-OP-006,221,331720,169,Alaska Village Electric Cooperative,052-0000,Kalskag_grid,Kalskag,1404378,61.5372222,-160.3052778,Lower Yukon-Kuskokwim,Kalskag,NA
SR-85,Kaltag,AK-OP-006,221,331380,169,Alaska Village Electric Cooperative,054-0000,Kaltag_grid,Kaltag,1404379,64.3272222,-158.7219444,Yukon-Koyukuk/Upper Tanana,Kaltag,NA
SR-86,Karluk,AK-OP-007,NA,331740,683,Alutiiq Power Company,092-0000,Karluk_grid,Karluk,1404456,57.5719444,-154.4555556,Kodiak,Karluk,NA
SR-87,Kasigluk,AK-OP-006,221,331390,169,Alaska Village Electric Cooperative,055-2006,Kasigluk_grid,Kasigluk,1404483,60.8955556,-162.5180556,Lower Yukon-Kuskokwim,Kasigluk,NA
SR-88,Kiana,AK-OP-006,221,331400,169,Alaska Village Electric Cooperative,057-0000,Kiana_grid,Kiana,1413311,66.975,-160.4227778,Northwest Arctic,Kiana,NA
SR-89,King Cove,AK-OP-043,9897,332070,289,"King Cove, City of",131-0000,King Cove_grid,King Cove,1418792,55.0616667,-162.3102778,Aleutians,King Cove,NA
SR-9,Paxson Inn and Lodge,AK-OP-137,26754,NA,91,Paxson Inn and Lodge,226_0000,Paxson_grid,Paxson,1866966,63.0897222,-145.6130556,Copper River/Chugach,Paxson,NA
SR-90,Kipnuk,AK-OP-044,NA,332080,446,Kipnuk Light Plant,132-0000,Kipnuk_grid,Kipnuk,1404781,59.9388889,-164.0413889,Lower Yukon-Kuskokwim,Kipnuk,NA
SR-91,Kivalina,AK-OP-006,221,331410,169,Alaska Village Electric Cooperative,058-0000,Kivalina_grid,Kivalina,1413348,67.7269444,-164.5333333,Northwest Arctic,Kivalina,NA
SR-92,Klawock,AK-OP-005,219,331155,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Klawock,1423100,55.5522222,-133.0958333,Southeast,Klawock,NA
SR-93,Klukwan,AK-OP-041,18963,332700,240,Inside Passage Electric,032-1998,Haines_grid,Klukwan,1866956,59.4038889,-135.8844444,Southeast,Klukwan,NA
SR-213,Chilkat Valley/Klukwan,AK-OP-041,18963,332690,240,Inside Passage Electric,032-1998,Haines_grid,Klukwan,1866956,59.4038889,-135.8844444,Southeast,Chilkat Valley/Klukwan,Combined SR-93 & SR-41 in January 2023
SR-94,Kobuk,AK-OP-006,221,332090,169,Alaska Village Electric Cooperative,149-1980,Shungnak_grid,Kobuk,1413362,66.9072222,-156.8811111,Northwest Arctic,Kobuk,NA
SR-95,Kokhanok,AK-OP-046,10455,332100,660,Kokhanok Village Council,134-0000,Kokhanok_grid,Kokhanok,1404333,59.4394444,-154.7761111,Bristol Bay,Kokhanok,NA
SR-96,Koliganek,AK-OP-064,NA,332110,661,New Koliganek Village Council,157-0000,Koliganek_grid,Koliganek,1404914,59.7286111,-157.2844444,Bristol Bay,Koliganek,NA
SR-97,Kongiganak,AK-OP-078,NA,332510,395,Puvurnaq Power Company,176-0000,Kongiganak_grid,Kongiganak,1404934,59.9532731,-162.8951327,Lower Yukon-Kuskokwim,Kongiganak,NA
SR-98,Kotlik,AK-OP-006,221,332120,169,Alaska Village Electric Cooperative,059-0000,Kotlik_grid,Kotlik,1404964,63.0341667,-163.5533333,Lower Yukon-Kuskokwim,Kotlik,NA
SR-99,Kotzebue,AK-OP-048,10451,332130,17,Kotzebue Electric Association,135-0000,Kotzebue_grid,Kotzebue,1413378,66.8983333,-162.5966667,Northwest Arctic,Kotzebue,NA
SR-183,Twin Hills,AK-OP-006,NA,332730,169,Alaska Village Electric Cooperative,086-2020,Togiak_grid,Twin Hills,1416737,59.0791667,-160.275,Bristol Bay,Twin Hills,NA
SR-191,Yakutat,AK-OP-006,221,332900,169,Alaska Village Electric Cooperative,091-0000,Yakutat_grid,Yakutat,1415858,59.5469444,-139.7272222,Southeast,Yakutat,Sold to AVEC
